,value
2016-02-02,1032299.9449999991
2016-02-03,1025182.4449999991
2016-02-04,1027522.4449999991
2016-02-05,1060282.444999999
2016-02-08,1046047.4449999991
2016-02-09,1046339.9449999991
2016-02-10,1048679.9449999991
2016-02-11,1074159.3249999995
2016-02-12,1075426.7649999992
2016-02-16,1080707.7649999992
2016-02-17,1082608.9249999993
2016-02-18,1100986.8049999992
2016-02-19,1100141.8449999993
2016-02-22,1106373.4249999993
2016-02-23,1099296.8849999993
2016-02-24,1108591.4449999994
2016-02-25,1123589.4849999994
2016-02-26,1117252.2849999995
2016-02-29,1111231.9449999994
2016-03-01,1132461.5649999992
2016-03-02,1130560.4049999993
2016-03-03,1130032.304999999
2016-03-04,1131616.604999999
2016-03-07,1129081.7249999992
2016-03-08,1134573.9649999992
2016-03-09,1128025.524999999
2016-03-10,1124856.924999999
2016-03-11,1118836.584999999
2016-03-14,1119364.6849999991
2016-03-15,1118308.484999999
2016-03-16,1122005.1849999991
2016-03-17,1129081.7249999992
2016-03-18,1121054.604999999
2016-03-21,1120647.2049999994
2016-03-22,1121691.8049999992
2016-03-23,1133391.3249999993
2016-03-24,1131406.5849999993
2016-03-28,1130570.9049999993
2016-03-29,1140076.7649999992
2016-03-30,1148224.644999999
2016-03-31,1156372.5249999992
2016-04-01,1146030.9849999992
2016-04-04,1152298.584999999
2016-04-05,1148538.0249999992
2016-04-06,1143628.404999999
2016-04-07,1150859.364999999
2016-04-08,1149068.924999999
2016-04-11,1147699.7649999992
2016-04-12,1154334.924999999
2016-04-13,1157178.5649999992
2016-04-14,1156862.6049999993
2016-04-15,1160443.4849999992
2016-04-18,1168342.4849999992
2016-04-19,1186773.4849999992
2016-04-20,1196252.2849999992
2016-04-21,1196146.9649999992
2016-04-22,1193513.9649999992
2016-04-25,1195515.0449999992
2016-04-26,1189195.844999999
2016-04-27,1187721.364999999
2016-04-28,1184667.0849999993
2016-04-29,1180454.2849999992
2016-05-02,1187510.7249999992
2016-05-03,1186878.8049999992
2016-05-04,1181928.7649999992
2016-05-05,1188879.884999999
2016-05-06,1187405.404999999
2016-05-09,1197726.7649999992
2016-05-10,1207732.164999999
2016-05-11,1204572.5649999992
2016-05-12,1203098.0849999993
2016-05-13,1196041.644999999
2016-05-16,1205309.8049999992
2016-05-17,1198885.2849999992
2016-05-18,1196357.6049999993
2016-05-19,1188669.2449999992
2016-05-20,1186352.2049999991
2016-05-23,1181296.844999999
2016-05-24,1186878.8049999992
2016-05-25,1193829.924999999
2016-05-26,1189090.5249999992
2016-05-27,1190354.3649999993
2016-05-31,1194251.2049999991
2016-06-01,1193303.3249999993
2016-06-02,1175293.6049999993
2016-06-03,1172449.9649999992
2016-06-06,1161812.6449999993
2016-06-07,1156487.2049999991
2016-06-08,1157186.6449999989
2016-06-09,1169177.044999999
2016-06-10,1169276.9649999992
2016-06-13,1167078.7249999992
2016-06-14,1170376.084999999
2016-06-15,1163281.764999999
2016-06-16,1165579.924999999
2016-06-17,1176770.964999999
2016-06-20,1166179.444999999
2016-06-21,1169776.564999999
2016-06-22,1166978.8049999992
2016-06-23,1161365.6449999989
