,value
2015-03-02,786445.0600000011
2015-03-03,767460.6600000012
2015-03-04,760816.1200000012
2015-03-05,764613.000000001
2015-03-06,756070.0200000011
2015-03-09,760816.1200000012
2015-03-10,766986.2700000011
2015-03-11,765562.4100000011
2015-03-12,773260.1500000011
2015-03-13,774694.7500000009
2015-03-16,788562.5500000009
2015-03-17,783780.550000001
2015-03-18,787127.950000001
2015-03-19,781389.550000001
2015-03-20,788084.3500000009
2015-03-23,792388.150000001
2015-03-24,793822.7500000007
2015-03-25,811994.3500000007
2015-03-26,810280.7500000008
2015-03-27,808762.4500000008
2015-03-30,817872.2500000007
2015-03-31,816860.0500000007
2015-04-01,805219.7500000007
2015-04-02,811292.9500000008
2015-04-06,809774.6500000007
2015-04-07,804713.6500000007
2015-04-08,808762.4500000008
2015-04-09,807244.1500000007
2015-04-10,811292.9500000008
2015-04-13,803195.3500000007
2015-04-14,808256.3500000008
2015-04-15,813317.3500000008
2015-04-16,806738.0500000007
2015-04-17,797628.2500000007
2015-04-20,805219.7500000007
2015-04-21,800664.8500000008
2015-04-22,805219.7500000007
2015-04-23,797628.2500000007
2015-04-24,798134.3500000007
2015-04-27,804713.6500000007
2015-04-28,812811.2500000007
2015-04-29,810786.8500000007
2015-04-30,799652.6500000007
2015-05-01,800158.7500000007
2015-05-04,798640.4500000007
2015-05-05,785987.9500000007
2015-05-06,783457.4500000008
2015-05-07,784975.7500000007
2015-05-08,788012.3500000008
2015-05-11,789024.5500000007
2015-05-12,793579.4500000008
2015-05-13,801170.9500000008
2015-05-14,784795.4300000007
2015-05-15,795588.1700000007
2015-05-18,789420.8900000008
2015-05-19,793532.4100000008
2015-05-20,779253.2100000009
2015-05-21,789948.7200000008
2015-05-22,777725.2800000008
2015-05-26,773650.8000000009
2015-05-27,780271.8300000009
2015-05-28,778743.9000000008
2015-05-29,772632.1800000009
2015-06-01,782309.0700000008
2015-06-02,777215.9700000008
2015-06-03,774160.1100000008
2015-06-04,774669.4200000009
2015-06-05,788420.790000001
2015-06-08,789583.680000001
2015-06-09,788523.840000001
2015-06-10,796472.640000001
2015-06-11,809720.640000001
2015-06-12,803891.5200000006
2015-06-15,813430.0800000005
2015-06-16,816079.6800000006
2015-06-17,815019.8400000007
2015-06-18,820450.8200000006
2015-06-19,818825.1200000007
2015-06-22,820992.7200000006
2015-06-23,812322.3200000006
2015-06-24,800942.4200000006
2015-06-25,804193.8200000006
2015-06-26,803171.1300000007
2015-06-29,783352.9900000006
2015-06-30,782831.4600000007
2015-07-01,781788.4000000006
2015-07-02,790132.8800000007
2015-07-06,794305.1200000007
2015-07-07,791175.9400000008
2015-07-08,816209.3800000007
2015-07-09,818295.5000000007
2015-07-10,810472.5500000006
2015-07-13,802128.0700000006
2015-07-14,811442.3700000007
2015-07-15,808154.9700000007
2015-07-16,798292.7700000007
2015-07-17,804867.5700000006
2015-07-20,798292.7700000007
2015-07-21,797196.9700000006
2015-07-22,802128.0700000005
2015-07-23,776605.6700000005
2015-07-24,764911.5700000006
2015-07-27,773416.3700000006
2015-07-28,788299.7700000006
2015-07-29,808498.6700000006
2015-07-30,802651.6200000006
2015-07-31,788299.7700000006
2015-08-03,794146.8200000005
2015-08-04,795741.4700000004
2015-08-05,801588.5200000005
2015-08-06,799993.8700000005
2015-08-07,801588.5200000005
2015-08-10,791489.0700000005
2015-08-11,806904.0200000005
2015-08-12,822157.9200000005
2015-08-13,823838.0700000005
2015-08-14,827758.4200000004
2015-08-17,822157.9200000005
2015-08-18,814877.2700000004
2015-08-19,818237.5700000004
2015-08-20,805959.0300000004
2015-08-21,774122.8200000003
2015-08-24,736701.3100000003
2015-08-25,720503.9400000004
2015-08-26,737818.3700000003
2015-08-27,757366.9200000004
2015-08-28,767420.4600000003
2015-08-31,774681.3500000003
2015-09-01,766303.4000000004
2015-09-02,774681.3500000003
2015-09-03,773005.7600000004
2015-09-04,757366.9200000004
2015-09-08,763510.7500000003
2015-09-09,755691.3300000003
2015-09-10,766861.9300000004
2015-09-11,765744.8700000003
2015-09-14,769654.5800000003
2015-09-15,799256.6700000004
2015-09-16,817688.1600000004
2015-09-17,815454.0400000003
2015-09-18,797581.0800000003
2015-09-21,799815.2000000003
2015-09-22,777474.0000000003
2015-09-23,764069.2800000004
