,value
2015-12-08,1192160.7500000005
2015-12-09,1192010.3200000003
2015-12-10,1200434.4000000008
2015-12-11,1222096.3200000008
2015-12-14,1195319.7800000007
2015-12-15,1220742.4500000007
2015-12-16,1229368.1300000004
2015-12-17,1209243.9700000004
2015-12-18,1225909.2900000007
2015-12-21,1214275.010000001
2015-12-22,1235669.3200000008
2015-12-23,1261627.0700000008
2015-12-24,1254779.3200000008
2015-12-28,1241720.8200000008
2015-12-29,1236465.5700000008
2015-12-30,1234236.0700000008
2015-12-31,1238217.3200000008
2016-01-04,1241243.0700000008
2016-01-05,1252644.2200000007
2016-01-06,1238566.0200000007
2016-01-07,1207954.120000001
2016-01-08,1228089.2200000007
2016-01-11,1221704.9200000009
2016-01-12,1215648.020000001
2016-01-13,1236929.020000001
2016-01-14,1230708.4200000009
2016-01-15,1276451.1400000008
2016-01-19,1264930.1800000006
2016-01-20,1234905.8600000008
2016-01-21,1216926.1800000009
2016-01-22,1189345.700000001
2016-01-25,1238746.1800000009
2016-01-26,1207499.9400000009
2016-01-27,1206452.5800000008
2016-01-28,1185854.5000000007
2016-01-29,1147451.3000000007
2016-02-01,1151117.0600000008
2016-02-02,1189869.3800000008
2016-02-03,1175380.9000000008
2016-02-04,1117950.6600000008
2016-02-05,1123473.9800000004
2016-02-08,1104133.8800000004
2016-02-09,1118603.1400000006
2016-02-10,1109004.7200000004
2016-02-11,1094678.7200000004
2016-02-12,1121325.0800000005
2016-02-16,1143387.1200000006
2016-02-17,1166595.2400000007
2016-02-18,1150836.6400000006
2016-02-19,1103131.0600000005
2016-02-22,1123187.4600000007
2016-02-23,1105136.7000000004
2016-02-24,1131783.0600000005
2016-02-25,1140378.6600000004
2016-02-26,1138516.2800000005
2016-02-29,1148687.7400000007
2016-03-01,1161151.3600000006
2016-03-02,1172468.9000000006
2016-03-03,1198685.4800000004
2016-03-04,1216019.9400000004
2016-03-07,1227480.7400000007
2016-03-08,1201264.1600000004
2016-03-09,1189660.1000000006
2016-03-10,1180204.9400000004
2016-03-11,1195533.7600000005
2016-03-14,1211292.3600000006
2016-03-15,1219062.4400000004
2016-03-16,1230549.8400000003
2016-03-17,1255489.5900000005
2016-03-18,1248990.1400000004
2016-03-21,1250350.4900000005
2016-03-22,1243397.5900000005
2016-03-23,1221934.2900000005
2016-03-24,1212865.2900000003
2016-03-28,1211958.3900000006
2016-03-29,1216795.1900000004
2016-03-30,1211051.4900000005
2016-03-31,1163741.5400000003
2016-04-01,1156335.1900000004
2016-04-04,1147266.1900000004
2016-04-05,1149835.7400000002
2016-04-06,1153916.7900000005
2016-04-07,1146056.9900000002
2016-04-08,1144092.0400000003
2016-04-11,1152556.4400000004
2016-04-12,1139708.6900000004
2016-04-13,1111594.7900000005
2016-04-14,1123686.7900000005
2016-04-15,1127012.0900000005
2016-04-18,1113710.8900000006
2016-04-19,1157964.4300000004
2016-04-20,1184676.5300000005
2016-04-21,1211669.8100000003
2016-04-22,1211669.8100000003
2016-04-25,1217152.8200000003
2016-04-26,1202953.2300000002
2016-04-27,1184817.1200000003
2016-04-28,1195783.1400000001
2016-04-29,1193252.5200000003
2016-05-02,1190721.9000000001
2016-05-03,1203234.4100000001
2016-05-04,1220386.3900000001
2016-05-05,1234164.2100000002
2016-05-06,1230649.4600000002
2016-05-09,1242880.7900000003
2016-05-10,1197470.2200000002
2016-05-11,1196204.9100000001
2016-05-12,1192690.1600000001
2016-05-13,1216309.2800000003
2016-05-16,1200000.8400000003
2016-05-17,1206046.2100000002
2016-05-18,1214481.6100000003
2016-05-19,1221425.8900000001
2016-05-20,1154452.3900000001
2016-05-23,1156531.3900000001
2016-05-24,1182667.3900000001
2016-05-25,1186082.8900000001
2016-05-26,1189349.8900000001
2016-05-27,1194841.99
2016-05-31,1221409.1700000002
2016-06-01,1229423.8499999999
2016-06-02,1247679.51
2016-06-03,1270090.93
2016-06-06,1298439.1500000001
2016-06-07,1295916.01
2016-06-08,1293986.55
2016-06-09,1290572.8900000001
2016-06-10,1271575.1300000001
2016-06-13,1266380.43
2016-06-14,1263857.29
2016-06-15,1280777.1700000004
2016-06-16,1276472.9900000002
2016-06-17,1263412.0300000003
2016-06-20,1269497.2500000002
2016-06-21,1291760.2500000002
2016-06-22,1294283.3900000001
2016-06-23,1288791.85
2016-06-24,1326935.7900000003
2016-06-27,1343707.2500000002
2016-06-28,1331982.0700000003
2016-06-29,1330052.61
2016-06-30,1337028.35
2016-07-01,1339106.2300000002
2016-07-05,1364782.8900000001
2016-07-06,1360330.2900000003
2016-07-07,1361814.4900000002
