,value
2015-02-05,782575.4499999993
2015-02-06,790067.6899999991
2015-02-09,801038.4699999992
2015-02-10,787927.0499999992
2015-02-11,794884.1299999992
2015-02-12,792609.6999999993
2015-02-13,785117.4599999991
2015-02-17,784314.7199999992
2015-02-18,785518.8299999993
2015-02-19,791673.1699999992
2015-02-20,778695.5399999991
2015-02-23,768393.7099999991
2015-02-24,774045.5699999993
2015-02-25,771148.4899999992
2015-02-26,774171.5299999992
2015-02-27,767369.6899999992
2015-03-02,755025.6099999993
2015-03-03,759812.0899999992
2015-03-04,712577.0899999992
2015-03-05,707790.6099999993
2015-03-06,694156.9399999995
2015-03-09,707374.0999999994
2015-03-10,698527.1299999994
2015-03-11,699273.2599999993
2015-03-12,710465.2099999995
2015-03-13,712810.1899999995
2015-03-16,725174.6299999994
2015-03-17,720804.4399999995
2015-03-18,729864.5899999994
2015-03-19,728265.7399999993
2015-03-20,748731.0199999993
2015-03-23,750649.6399999994
2015-03-24,770795.1499999994
2015-03-25,781347.5599999994
2015-03-26,788174.8199999994
2015-03-27,791327.3199999995
2015-03-30,792782.319999999
2015-03-31,808059.8199999991
2015-04-01,819457.3199999991
2015-04-02,823458.5699999991
2015-04-06,832836.7599999991
2015-04-07,832836.7599999991
2015-04-08,839710.6399999991
2015-04-09,838917.4999999991
2015-04-10,854515.9199999991
2015-04-13,845394.8099999991
2015-04-14,846452.3299999991
2015-04-15,838520.9299999991
2015-04-16,841825.6799999991
2015-04-17,863901.409999999
2015-04-20,870643.099999999
2015-04-21,883201.1499999991
2015-04-22,880425.159999999
2015-04-23,872493.7599999991
2015-04-24,869849.959999999
2015-04-27,861389.799999999
2015-04-28,857688.4799999987
2015-04-29,860993.2299999987
2015-04-30,868395.8699999988
2015-05-01,856102.1999999989
2015-05-04,847377.6599999989
2015-05-05,851211.1699999988
2015-05-06,855970.0099999988
2015-05-07,850946.7899999989
2015-05-08,826095.0699999988
2015-05-11,810496.6499999989
2015-05-12,818560.2399999988
2015-05-13,819882.1399999987
2015-05-14,819221.1899999988
2015-05-15,816709.5799999988
2015-05-18,811950.7399999988
2015-05-19,808381.6099999988
2015-05-20,797674.2199999988
2015-05-21,800185.8299999988
2015-05-22,797281.4799999988
2015-05-26,787943.0799999988
2015-05-27,798448.7799999989
2015-05-28,807203.5299999989
2015-05-29,754091.3799999987
2015-06-01,776036.6199999988
2015-06-02,768098.9799999988
2015-06-03,766931.6799999988
2015-06-04,767748.7899999988
2015-06-05,772768.1799999988
2015-06-08,774869.3199999989
2015-06-09,777670.8399999988
2015-06-10,772417.9899999987
2015-06-11,768682.6299999988
2015-06-12,775336.2399999987
2015-06-15,773702.0199999987
2015-06-16,767281.8699999988
2015-06-17,763429.7799999987
2015-06-18,759694.4199999988
2015-06-19,757593.2799999987
2015-06-22,754558.2999999988
2015-06-23,751406.5899999988
2015-06-24,757476.5499999988
2015-06-25,757126.3599999987
2015-06-26,760420.7599999987
2015-06-29,742745.6999999987
2015-06-30,749162.7599999987
2015-07-01,761884.2999999986
2015-07-02,768526.5199999989
2015-07-06,768301.3599999989
2015-07-07,760083.0199999989
2015-07-08,765599.439999999
2015-07-09,763910.739999999
2015-07-10,748374.699999999
2015-07-13,744203.4899999987
2015-07-14,748476.6899999988
2015-07-15,740143.9499999988
2015-07-16,741212.2499999987
2015-07-17,739609.7999999989
2015-07-20,732345.3599999989
2015-07-21,717923.9799999989
2015-07-22,723135.9799999989
2015-07-23,740961.019999999
2015-07-24,764519.2599999988
2015-07-27,751085.9799999988
2015-07-28,755290.7799999987
2015-07-29,757977.1799999988
2015-07-30,752954.7799999987
2015-07-31,766737.1799999988
2015-08-03,763233.1799999989
2015-08-04,757393.1799999989
2015-08-05,759962.7799999989
2015-08-06,742209.1799999988
2015-08-07,740690.7799999987
2015-08-10,746297.1799999988
2015-08-11,731930.7799999987
2015-08-12,728777.1799999988
2015-08-13,729127.5799999988
2015-08-14,736836.3799999988
2015-08-17,741391.5799999988
2015-08-18,750852.3799999988
2015-08-19,748983.5799999989
2015-08-20,732514.7799999989
2015-08-21,713359.5799999988
2015-08-24,685093.9799999988
2015-08-25,676100.3799999988
2015-08-26,701212.3799999988
2015-08-27,710439.5799999988
2015-08-28,698875.9899999987
2015-08-31,712192.3299999988
2015-09-01,718617.3999999989
2015-09-02,736026.6699999989
2015-09-03,725408.2499999988
2015-09-04,707505.0999999988
2015-09-08,728371.5299999989
2015-09-09,716518.4099999989
2015-09-10,725408.2499999988
2015-09-11,731211.3399999988
2015-09-14,730593.9899999988
