,value
2015-03-18,1079416.329999999
2015-03-19,1094648.249999999
2015-03-20,1075954.5299999989
2015-03-23,1086513.019999999
2015-03-24,1098283.139999999
2015-03-25,1089628.639999999
2015-03-26,1086339.9299999988
2015-03-27,1091705.719999999
2015-03-30,1073185.089999999
2015-03-31,1103302.749999999
2015-04-01,1100929.089999999
2015-04-02,1103724.1299999987
2015-04-06,1142330.6199999987
2015-04-07,1149318.2199999988
2015-04-08,1176220.4799999981
2015-04-09,1137963.3699999982
2015-04-10,1146173.7999999982
2015-04-13,1149492.9099999983
2015-04-14,1114205.5299999982
2015-04-15,1096037.7699999982
2015-04-16,1103519.8599999987
2015-04-17,1082413.0599999984
2015-04-20,1097123.8599999985
2015-04-21,1087689.7599999986
2015-04-22,1087689.7599999986
2015-04-23,1081613.5599999984
2015-04-24,1082716.8799999987
2015-04-27,1075500.2299999986
2015-04-28,1086405.3899999985
2015-04-29,1091537.2299999986
2015-04-30,1089292.0499999986
2015-05-01,1081594.2899999986
2015-05-04,1074858.7499999986
2015-05-05,1077745.4099999988
2015-05-06,1078226.5199999986
2015-05-07,1068443.9499999988
2015-05-08,1077264.2999999986
2015-05-11,1046954.3699999986
2015-05-12,1048878.8099999987
2015-05-13,1048718.4399999985
2015-05-14,1049199.5499999986
2015-05-15,1054652.1299999987
2015-05-18,1059142.4899999988
2015-05-19,1044388.4499999987
2015-05-20,1038935.8699999986
2015-05-21,1051765.4699999986
2015-05-22,1041982.8999999989
2015-05-26,1062349.8899999987
2015-05-27,1062670.629999999
2015-05-28,1062029.149999999
2015-05-29,1064260.8299999987
2015-06-01,1063090.9899999988
2015-06-02,1070778.5099999986
2015-06-03,1066266.2699999986
2015-06-04,1052896.6699999988
2015-06-05,1053565.1499999987
2015-06-08,1060082.8299999987
2015-06-09,1053899.3899999987
2015-06-10,1069942.9099999988
2015-06-11,1070110.0299999989
2015-06-12,1061419.7899999986
2015-06-15,1057408.9099999988
2015-06-16,1060082.8299999987
2015-06-17,1054400.7499999988
2015-06-18,1051726.8299999987
2015-06-19,1042033.8699999988
2015-06-22,1045877.6299999987
2015-06-23,1055737.7099999988
2015-06-24,1050055.6299999987
2015-06-25,1039861.3099999988
2015-06-26,1039192.8299999988
2015-06-29,1019639.7899999988
2015-06-30,1030335.4699999988
2015-07-01,1053398.0299999989
2015-07-02,1045209.1499999986
2015-07-06,1069608.6699999985
2015-07-07,1085936.339999999
2015-07-08,1062451.889999999
2015-07-09,1068095.439999999
2015-07-10,1076469.739999999
2015-07-13,1072828.7399999988
2015-07-14,1083751.7399999988
2015-07-15,1063544.189999999
2015-07-16,1054987.839999999
2015-07-17,1041334.0899999989
2015-07-20,1029864.9399999989
2015-07-21,1028408.539999999
2015-07-22,1016393.239999999
2015-07-23,983806.2899999989
