,value
2015-03-06,1396185.6199999999
2015-03-09,1410671.49
2015-03-10,1398620.22
2015-03-11,1393872.75
2015-03-12,1409819.3800000001
2015-03-13,1393507.56
2015-03-16,1402028.66
2015-03-17,1391559.8800000001
2015-03-18,1408480.35
2015-03-19,1400080.98
2015-03-20,1403245.96
2015-03-23,1391194.69
2015-03-24,1399715.7899999998
2015-03-25,1396794.27
2015-03-26,1409821.4
2015-03-27,1409574.6399999997
2015-03-30,1416360.5399999998
2015-03-31,1411301.9599999997
2015-04-01,1400938.0399999998
2015-04-02,1398840.5799999998
2015-04-06,1414509.8399999999
2015-04-07,1413646.1799999997
2015-04-08,1423146.44
2015-04-09,1429562.1999999997
2015-04-10,1426847.8399999996
2015-04-13,1438322.1799999995
2015-04-14,1429438.8199999994
2015-04-15,1418704.7599999995
2015-04-16,1421048.9799999995
2015-04-17,1441159.9199999995
2015-04-20,1429438.8199999994
2015-04-21,1432770.0799999996
2015-04-22,1430672.6199999996
2015-04-23,1433140.2199999997
2015-04-24,1428938.0999999996
2015-04-27,1435119.0999999996
2015-04-28,1396549.6599999995
2015-04-29,1414350.9399999995
2015-04-30,1384311.2799999996
2015-05-01,1408664.4199999997
2015-05-04,1408911.6599999995
2015-05-05,1389008.8399999996
2015-05-06,1390739.5199999996
2015-05-07,1400381.8799999997
2015-05-08,1419048.4999999995
2015-05-11,1404090.4799999995
2015-05-12,1402483.4199999997
2015-05-13,1409406.1399999997
2015-05-14,1433882.8999999994
2015-05-15,1435489.9599999995
2015-05-18,1427949.14
2015-05-19,1429432.5799999998
2015-05-20,1420808.8499999999
2015-05-21,1426586.5599999998
2015-05-22,1416998.02
2015-05-26,1399296.0999999999
2015-05-27,1407040.69
2015-05-28,1411343.2399999998
2015-05-29,1409499.29
2015-06-01,1414539.42
2015-06-02,1422038.15
2015-06-03,1430520.3199999998
2015-06-04,1440108.8599999999
2015-06-05,1440231.7899999996
2015-06-08,1445271.92
2015-06-09,1444534.3399999999
2015-06-10,1420562.9899999998
2015-06-11,1419333.6899999997
2015-06-12,1437158.5399999996
2015-06-15,1441829.88
2015-06-16,1434822.8699999996
2015-06-17,1427569.9999999998
2015-06-18,1439847.0999999999
2015-06-19,1439232.95
2015-06-22,1446111.43
2015-06-23,1439847.0999999999
2015-06-24,1428055.42
2015-06-25,1424370.5199999998
2015-06-26,1421545.43
2015-06-29,1387153.03
2015-06-30,1388872.6499999997
2015-07-01,1390469.44
2015-07-02,1409508.0899999999
2015-07-06,1420685.6199999999
2015-07-07,1417246.3799999997
2015-07-08,1436407.8599999999
2015-07-09,1436530.69
2015-07-10,1416018.0799999998
2015-07-13,1398207.7299999997
2015-07-14,1386293.2199999997
2015-07-15,1387521.5199999998
2015-07-16,1386293.2199999997
2015-07-17,1409876.5799999998
2015-07-20,1409999.41
2015-07-21,1412456.01
2015-07-22,1421299.7699999998
2015-07-23,1428792.4
2015-07-24,1449796.3299999998
2015-07-27,1463798.9499999997
2015-07-28,1397716.41
2015-07-29,1414021.1199999999
2015-07-30,1423584.6999999997
2015-07-31,1420029.0099999998
2015-08-03,1413530.68
2015-08-04,1414021.1199999999
2015-08-05,1431554.3499999999
2015-08-06,1426159.5099999998
2015-08-07,1402250.5599999998
2015-08-10,1429592.5899999999
2015-08-11,1421500.3299999998
2015-08-12,1410588.04
2015-08-13,1413530.68
2015-08-14,1404212.3199999996
2015-08-17,1405806.2499999998
2015-08-18,1411323.6999999995
2015-08-19,1424075.1399999997
2015-08-20,1415292.3599999999
2015-08-21,1381112.8399999999
2015-08-24,1323937.5399999996
2015-08-25,1313633.4199999997
2015-08-26,1338262.7799999996
2015-08-27,1381364.1599999997
2015-08-28,1388149.7999999996
2015-08-31,1371562.6799999997
2015-09-01,1324817.1599999997
2015-09-02,1356986.1199999996
2015-09-03,1367667.2199999997
2015-09-04,1338891.0799999998
2015-09-08,1364651.3799999997
2015-09-09,1388903.7599999998
2015-09-10,1387898.4799999997
2015-09-11,1382243.7799999996
2015-09-14,1368798.1599999997
2015-09-15,1385008.2999999996
2015-09-16,1427607.0399999996
2015-09-17,1426853.0799999998
2015-09-18,1414412.7399999998
2015-09-21,1416674.6199999996
2015-09-22,1409260.6799999995
2015-09-23,1419564.7999999993
2015-09-24,1451570.3299999994
2015-09-25,1450519.8499999994
2015-09-28,1467590.1499999994
2015-09-29,1453933.9099999995
2015-09-30,1436075.7499999993
2015-10-01,1401803.8399999994
2015-10-02,1377248.8699999994
2015-10-05,1357027.1299999994
2015-10-06,1374026.9299999995
2015-10-07,1386688.8499999994
2015-10-08,1413185.0899999994
2015-10-09,1413302.3299999994
2015-10-12,1413654.0499999993
2015-10-13,1408847.2099999993
2015-10-14,1422681.5299999996
2015-10-15,1425495.2899999993
2015-10-16,1431591.7699999993
2015-10-19,1399702.4899999993
2015-10-20,1400288.6899999995
2015-10-21,1382350.9699999995
2015-10-22,1413419.5699999994
2015-10-23,1406854.1299999994
2015-10-26,1402047.2899999993
2015-10-27,1389737.0899999994
2015-10-28,1402164.5299999996
2015-10-29,1406150.6899999995
2015-10-30,1411074.7699999993
2015-11-02,1383406.1299999994
2015-11-03,1407440.3299999994
2015-11-04,1377544.1299999994
2015-11-05,1368985.6099999996
2015-11-06,1371799.3699999996
2015-11-09,1388681.9299999997
2015-11-10,1384109.5699999998
2015-11-11,1370978.6899999997
2015-11-12,1398178.3699999996
2015-11-13,1383171.6499999997
2015-11-16,1380006.1699999997
2015-11-17,1379419.9699999997
2015-11-18,1361013.2899999998
2015-11-19,1365820.13
2015-11-20,1363240.8499999999
2015-11-23,1346944.4899999998
2015-11-24,1344599.6899999997
2015-11-25,1341767.9299999997
2015-11-27,1340527.8999999997
2015-11-30,1343346.1499999997
2015-12-01,1349095.3799999997
2015-12-02,1353040.93
2015-12-03,1361495.68
2015-12-04,1346389.8599999999
2015-12-07,1356197.3699999999
2015-12-08,1378630.64
2015-12-09,1372092.2999999998
2015-12-10,1383252.57
2015-12-11,1423497.18
2015-12-14,1409405.93
2015-12-15,1393285.54
2015-12-16,1361495.68
2015-12-17,1390692.75
2015-12-18,1420904.39
2015-12-21,1414140.5899999999
2015-12-22,1400612.99
2015-12-23,1377165.15
2015-12-24,1375788.16
2015-12-28,1372104.74
2015-12-29,1383036.18
2015-12-30,1371629.46
2015-12-31,1374837.5999999999
2016-01-04,1397294.5799999998
2016-01-05,1392422.9599999997
